"name","L","Eglob","Cclosed","ElocClosed","Copen","ElocOpen","Circuit_rank","Dia","Mean_path_length","Coverage","time","mean_deg","var_deg","avg_deg","mean_fragsize","var_fragsize","avg_fragsize","Maximalcliques","label"
"1bbn_param_1d8v",1.41578947368421,0.799122807017544,0.878113267451503,0.939056633725751,0.86078291806233,0.930391459031165,96,3,1.345,0.651515151515152,"1x1 struct",155.950972104818,80.0499358240402,155.950972104818,27.4344885883347,12.2001087960973,27.4344885883347,7,0.3
"1bbn_param_1oca",1,1,1,1,1,1,6,1,0.8,0.25,"1x1 struct",82.2653721682848,16.5257022972616,82.2653721682848,48.8673139158576,9.4808751296377,48.8673139158576,1,0.523076923076923
"1bbn_param_1pbu",1,1,1,1,1,1,1,1,0.666666666666667,0.234848484848485,"1x1 struct",38.1210478771454,30.6668435667118,38.1210478771454,51.9421860885276,12.1236488309359,51.9421860885276,1,0.569230769230769
"1bbn_param_1xxe",1.87581699346405,0.687908496732026,0.860606060606061,0.93030303030303,0.828282828282828,0.914141414141414,56,4,1.77160493827161,0.598484848484849,"1x1 struct",97.1458662453923,35.9075189660209,97.1458662453923,24.9973670352817,8.12489076646335,24.9973670352817,4,0.346153846153846
"1bbn_param_1ygw",1,1,1,1,1,1,6,1,0.8,0.25,"1x1 struct",82.2653721682848,16.5257022972616,82.2653721682848,48.8673139158576,9.4808751296377,48.8673139158576,1,0.523076923076923
"1bbn_param_2kok",1.51692307692308,0.768974358974359,0.875105553862401,0.9375527769312,"NaN","NaN",158,4,1.4585798816568,0.856060606060606,"1x1 struct",213.698775380374,150.725610040745,213.698775380374,26.7799395642263,16.6159558490391,26.7799395642263,11,0.192307692307692
"1bbn_param_2m4k",1.98181818181818,0.646969696969697,0.92943722943723,0.964718614718615,"NaN","NaN",13,4,1.80165289256198,0.446969696969697,"1x1 struct",35.9606495199716,17.8290145533593,35.9606495199716,20.2086049543677,6.51107743894851,20.2086049543677,4,0.469230769230769
"1bbn_param_5x1x",1.9,0.670833333333333,0.863979076479077,0.931989538239538,0.825595238095238,0.912797619047619,38,4,1.78125,0.598484848484849,"1x1 struct",67.2348484848485,24.6888397181171,67.2348484848485,22.0821496212121,7.63856686675159,22.0821496212121,5,0.338461538461539
"1bhu_param_1d8v",1.14102564102564,0.92948717948718,0.9230410615026,0.9615205307513,0.908158508158508,0.954079254079254,55,2,1.05325443786982,0.92156862745098,"1x1 struct",185.384615384615,73.1429892458439,185.384615384615,36.2019230769231,9.78623397727009,36.2019230769231,3,0.35
"1bhu_param_1oca",1,1,1,1,1,1,36,1,0.9,0.872549019607843,"1x1 struct",330.105857445307,114.295568125683,330.105857445307,51.6019760056457,12.9875576970657,51.6019760056457,1,0.38
